ID_PERSONA,ID_EMPRESA,MONTO,FECHA
39,2,1841,2021-01-22
84,8,980,2021-01-22
49,10,1224,2021-01-22
76,9,3082,2021-01-22
63,5,2623,2021-01-22
3,2,2260,2021-01-22
65,4,3344,2021-01-22
1,1,1062,2021-01-22
14,9,4273,2021-01-22
85,4,380,2021-01-22
41,10,3120,2021-01-22
58,9,318,2021-01-22
85,6,4460,2021-01-22
17,2,1625,2021-01-22
39,1,465,2021-01-22
30,7,709,2021-01-22
98,2,3729,2021-01-22
98,8,1820,2021-01-22
73,2,3653,2021-01-22
81,2,3075,2021-01-22
14,10,1731,2021-01-22
84,2,3410,2021-01-22
88,6,2167,2021-01-22
70,8,3252,2021-01-22
10,6,3428,2021-01-22
62,6,1059,2021-01-22
41,10,739,2021-01-22
97,8,3298,2021-01-22
86,3,3377,2021-01-22
68,8,549,2021-01-22
78,2,4254,2021-01-22
22,8,1762,2021-01-22
23,10,4391,2021-01-22
12,3,1443,2021-01-22
15,7,4029,2021-01-22
22,4,1684,2021-01-22
50,4,3299,2021-01-22
13,3,4203,2021-01-22
64,8,2869,2021-01-22
3,6,1241,2021-01-22
91,10,2713,2021-01-22
39,6,3891,2021-01-22
45,4,831,2021-01-22
32,7,2322,2021-01-22
98,5,1962,2021-01-22
63,2,3872,2021-01-22
81,4,2368,2021-01-22
57,4,2362,2021-01-22
67,7,220,2021-01-22
87,7,2244,2021-01-22
68,4,2923,2021-01-22
10,7,4329,2021-01-22
2,1,1051,2021-01-22
87,8,440,2021-01-22
23,2,1206,2021-01-22
51,2,1522,2021-01-22
40,9,3315,2021-01-22
73,3,2285,2021-01-22
41,6,3153,2021-01-22
15,2,1325,2021-01-22
74,9,1831,2021-01-22
26,8,4419,2021-01-22
48,6,2186,2021-01-22
99,7,1652,2021-01-22
85,9,1788,2021-01-22
37,9,3058,2021-01-22
8,1,3662,2021-01-22
56,5,1014,2021-01-22
48,6,2793,2021-01-22
77,1,372,2021-01-22
61,6,3301,2021-01-22
45,5,1910,2021-01-22
32,5,3438,2021-01-22
43,8,3308,2021-01-22
65,7,3612,2021-01-22
7,2,1395,2021-01-22
77,8,781,2021-01-22
4,9,3762,2021-01-22
55,2,3520,2021-01-22
91,5,3986,2021-01-22
34,8,2675,2021-01-22
83,4,2414,2021-01-22
70,7,3851,2021-01-22
81,5,956,2021-01-22
74,5,3661,2021-01-22
23,5,3033,2021-01-22
68,7,1931,2021-01-22
84,7,1321,2021-01-22
93,9,831,2021-01-22
52,6,4303,2021-01-22
31,10,3469,2021-01-22
12,10,1205,2021-01-22
62,1,3531,2021-01-22
14,10,1744,2021-01-22
34,9,3749,2021-01-22
97,8,1057,2021-01-22
19,8,3220,2021-01-22
74,9,207,2021-01-22
66,3,1574,2021-01-22
38,5,3287,2021-01-22
16,8,3172,2021-01-22
95,8,1684,2021-01-22
57,10,2881,2021-01-22
65,1,3127,2021-01-22
15,7,3803,2021-01-22
27,7,3729,2021-01-22
34,7,2491,2021-01-22
14,9,2043,2021-01-22
98,1,2706,2021-01-22
10,4,3833,2021-01-22
96,6,604,2021-01-22
29,2,1582,2021-01-22
14,5,2957,2021-01-22
17,9,4105,2021-01-22
79,10,3058,2021-01-22
51,2,883,2021-01-22
29,7,2952,2021-01-22
14,9,3018,2021-01-22
13,4,1572,2021-01-22
34,5,1235,2021-01-22
24,4,1947,2021-01-22
74,7,683,2021-01-22
90,10,1056,2021-01-22
1,1,823,2021-01-22
43,2,4371,2021-01-22
71,10,526,2021-01-22
64,5,1678,2021-01-22
85,6,990,2021-01-22
43,10,3216,2021-01-22
13,3,734,2021-01-22
62,3,1302,2021-01-22
93,6,2575,2021-01-22
2,7,3855,2021-01-22
58,4,588,2021-01-22
16,5,2662,2021-01-22
44,5,2449,2021-01-22
46,10,1065,2021-01-22
37,9,2522,2021-01-22
56,4,2585,2021-01-22
72,10,2218,2021-01-22
25,5,2252,2021-01-22
22,3,1486,2021-01-22
73,3,4283,2021-01-22
89,7,2687,2021-01-22
80,2,2774,2021-01-22
65,4,1677,2021-01-22
29,10,3720,2021-01-22
96,3,2636,2021-01-22
58,7,2678,2021-01-22
93,10,4363,2021-01-22
38,3,2293,2021-01-22
54,10,597,2021-01-22
93,9,224,2021-01-22
9,1,3052,2021-01-22
34,7,2741,2021-01-22
50,6,4033,2021-01-22
15,5,326,2021-01-22
16,2,2806,2021-01-22
43,3,3859,2021-01-22
69,9,1061,2021-01-22
72,8,517,2021-01-22
81,10,976,2021-01-22
33,7,4023,2021-01-22
9,7,4474,2021-01-22
73,3,1143,2021-01-22
20,10,1572,2021-01-22
12,1,2064,2021-01-22
42,8,4396,2021-01-22
99,9,716,2021-01-22
4,10,4031,2021-01-22
97,8,3436,2021-01-22
17,2,234,2021-01-22
16,10,2732,2021-01-22
93,6,3446,2021-01-22
55,6,1424,2021-01-22
100,1,3696,2021-01-22
60,2,2846,2021-01-22
79,7,3404,2021-01-22
27,8,1134,2021-01-22
34,4,2468,2021-01-22
55,6,3492,2021-01-22
58,9,887,2021-01-22
11,7,345,2021-01-22
19,5,2048,2021-01-22
